star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 84893,HIP 84893,HD 156897,GJ 670 A,2MASS J17210038-2106463 A,1,1,0,0,0,0,0,17h21m00.21s,-21.112435,-21d06m44.8s,17.36,,,4.39,0.02,0.37,0.02,F2/3V,4.42,0.1
HIP 85340,HIP 85340,HD 157792,GJ 673.1,2MASS J17262221-2410308,1,1,0,0,0,0,0,17h26m22.22s,-24.175023,-24d10m30.1s,25.5,0.26,-0.25,4.15,0.02,0.28,0,A3MF0(IV),11.62,0.1
GJ 676 A,HIP 85647,,GJ 676 A,2MASS J17301119-5138132,1,0,1,0,0,1,3,17h30m11.45s,-51.636525,-51d38m11.5s,16.45,0.51,-0.48,9.59,0.01,1.44,0.01,M0,0.11,0.08
HIP 85667 A,HIP 85667 A,HD 158614 A,GJ 678 A,2MASS J17302380-0103459 A,1,0,1,1,0,0,0,17h30m23.87s,-1.062504,-01d03m45.0s,16.34,0.17,-0.16,5.31,0.01,0.72,0.01,G6V,1.9,0.11
HIP 86032,HIP 86032,HD 159561,GJ 681,2MASS J17345606+1233361,1,1,1,0,0,0,0,17h34m56.00s,12.560576,+12d33m38.1s,14.9,0.3,-0.29,2.08,0,0.16,0,A5III,26.87,0.04
HIP 86201,HIP 86201,HD 160922,GJ 4017,2MASS J17365709+6845282,1,1,0,0,0,0,0,17h36m57.09s,68.757189,+68d45m25.9s,23.16,,,4.77,0.02,0.43,0.01,F5V,5.61,0.1
HIP 86486,HIP 86486,HD 160032,GJ 686.2,2MASS J17402381-4924560,1,1,0,0,0,0,0,17h40m23.73s,-49.415155,-49d24m54.6s,21.45,0.22,-0.21,4.75,0.02,0.4,0.02,F2V,4.86,0.11
HIP 86614,HIP 86614,HD 162003,GJ 694.1 A,2MASS J17415635+7208561,1,1,0,0,0,0,0,17h41m56.31s,72.149499,+72d08m58.2s,22.84,0.23,-0.23,4.55,0.02,0.43,0.02,F5IV-V,6.72,0.07
HIP 86736,HIP 86736,HD 160915,GJ 692,2MASS J17432580-2140593,1,1,0,0,1,0,0,17h43m25.85s,-21.683086,-21d40m59.1s,17.65,,,4.86,0.02,0.47,0.02,F6/7V,3.02,0.1
HIP 86742,HIP 86742,HD 161096,,2MASS J17432835+0434022,1,1,0,0,0,0,0,17h43m28.38s,4.566917,+04d34m00.9s,25.09,,,2.75,0.02,1.19,0.02,K2III,63.86,0.06
HD 160691,HIP 86796,HD 160691,GJ 691,2MASS J17440870-5150027,1,1,1,0,0,1,4,17h44m08.72s,-51.833588,-51d50m00.9s,15.51,,,5.12,0.02,0.69,0.02,G3IV/V,2.01,0.1
HIP 86974,HIP 86974,HD 161797,GJ 695 A,2MASS J17462752+2743142,1,1,1,1,0,1,0,17h46m27.72s,27.722499,+27d43m21.0s,8.31,,,3.41,0.02,0.75,0.02,G5IV,2.78,0.06
HIP 87108,HIP 87108,HD 161868,,2MASS J17475355+0242262,0,1,0,0,0,0,0,17h47m53.56s,2.707276,+02d42m26.2s,29.05,0.81,-0.86,3.75,,0.04,,A1 Vn kA0mA0,,
HIP 87585,HIP 87585,HD 163588,,2MASS J17533173+5652216,0,1,0,0,0,0,0,17h53m31.73s,56.872643,+56d52m21.5s,34.18,0.56,-0.58,3.75,,1.18,,K2 III,,
HIP 88175,HIP 88175,HD 164259,GJ 699.2,2MASS J18002899-0341250,1,1,0,0,1,0,0,18h00m28.92s,-3.690161,-03d41m24.6s,23.55,0.24,-0.23,4.62,0.02,0.37,0.02,F2IV,6.61,0.06
HIP 88601 A,HIP 88601 A,HD 165341,GJ 702 A,2MASS J18052735+0229585 A,1,1,1,1,0,0,0,18h05m27.21s,2.502439,+02d30m08.8s,5.1,0.05,-0.05,4.03,0.01,0.86,0.01,K0V,0.68,0.05
HIP 88635,HIP 88635,HD 165135,,2MASS J18054848-3025265,1,1,0,0,0,0,0,18h05m48.52s,-30.42365,-30d25m25.1s,29.7,0.3,-0.29,2.95,0.02,1.02,0.02,K0III,66.22,0.06
HIP 88745 A,HIP 88745 A,HD 165908,GJ 704 A,2MASS J18070158+3033434 A,1,0,1,0,0,0,0,18h07m01.61s,30.561868,+30d33m42.7s,15.64,0.16,-0.15,5.07,0.02,0.5,0.02,F7V,2.05,0.06
HIP 88771,HIP 88771,HD 165777,GJ 9615 A,2MASS J18072099+0933497,1,1,0,0,0,0,0,18h07m21.02s,9.563653,+09d33m49.2s,26.63,0.27,-0.26,3.7,0.02,0.14,0.02,A4IVs,20.1,0.06
HIP 88972,HIP 88972,HD 166620,GJ 706,2MASS J18093745+3827288,1,0,0,1,0,0,0,18h09m37.65s,38.458915,+38d27m32.1s,11.02,,,6.38,0.02,0.88,0.01,K2V,0.36,0.04
HIP 89042,HIP 89042,HD 165499,GJ 705.1,2MASS J18102614-6200078,1,0,0,1,0,0,0,18h10m26.26s,-62.002768,-62d00m10.0s,17.61,0.18,-0.17,5.47,0,0.59,0.01,G1V,1.78,0.06
HIP 89937,HIP 89937,HD 170153,GJ 713 A,2MASS J18210342+7243582 A,1,1,0,1,0,0,0,18h21m02.34s,72.733698,+72d44m01.3s,8.06,0.08,-0.08,3.56,0.02,0.49,0.01,F7Vvar,2.14,0.11
HIP 89962,HIP 89962,HD 168723,GJ 711,2MASS J18211862-0253554,1,1,0,0,0,1,0,18h21m18.92s,-2.897122,-02d53m49.6s,18.54,,,3.23,0.02,0.94,0.01,K0III-IV,19.56,0.04
HIP 90139,HIP 90139,HD 169414,,2MASS J18234188+2146108,0,1,0,0,0,0,0,18h23m41.89s,21.769753,+21d46m11.1s,39.37,0.98,-1.03,3.84,,1.18,,K0,,
HD 169830,HIP 90485,HD 169830,,2MASS J18274949-2949007,0,0,1,0,0,1,2,18h27m49.48s,-29.816866,-29d49m00.7s,36.32,1.16,-1.24,5.902,0.01,0.505,0.017,F8 V,4.59,
HIP 90496,HIP 90496,HD 169916,GJ 713.1,2MASS J18275824-2525175,1,1,0,0,0,0,0,18h27m58.27s,-25.421247,-25d25m16.5s,23.97,,,2.81,0.02,1.06,0.02,K1IIIB,52.22,0.06
HIP 91262,HIP 91262,HD 172167,GJ 721,2MASS J18365633+3847012,1,1,1,0,1,0,0,18h36m56.19s,38.782993,+38d46m58.8s,7.68,,,0.03,0,0,0.01,A0Vvar,61,0.05
HIP 91438,HIP 91438,HD 172051,GJ 722,2MASS J18385342-2103065,1,0,1,0,0,1,0,18h38m53.45s,-21.051502,-21d03m05.4s,13.08,0.13,-0.13,5.86,0.02,0.67,0,G5V,0.71,0.1
